200801;2514
200901;703
201001;3691
201101;20108
201201;13463
201301;17690
201401;4357
201501;20772
200702;8
200802;973
200902;110
201002;2946
201102;18675
201202;10175
201302;12062
201402;19469
201502;11898
200803;37
200903;1730
201003;3300
201103;1579
201203;25403
201303;27252
201403;14325
201503;21608
200804;404
200904;2153
201004;2308
201104;6316
201204;12918
201304;11868
201404;9455
201504;14044
200805;6
200905;5345
201005;909
201105;12128
201205;12709
201305;15266
201405;13059
201505;13048
200706;599
200806;81
200906;2301
201006;729
201106;7371
201206;13607
201306;9472
201406;7471
201506;13118
200707;10
200807;178
200907;1101
201007;862
201107;29768
201207;17597
201307;3506
201407;41157
201507;13180
200708;3
200808;333
200908;2375
201008;1817
201108;67465
201208;9130
201308;5735
201408;15227
200609;1
200709;32
200809;581
200909;927
201009;1891
201109;6106
201209;14878
201309;8930
201409;11017
200710;70
200810;1483
200910;2150
201010;2030
201110;17154
201210;6543
201310;7457
201410;19651
200711;46
200811;556
200911;5734
201011;4424
201111;14463
201211;12465
201311;2995
201411;40377
200612;14
200712;264
200812;560
200912;2661
201012;1267
201112;12011
201212;11418
201312;57253
201412;31378
